Sl.no,Species_common_name,Species_scientific_name,lat,lon,Month,Year,Source,Comments,name_combined,Source_type
42,Long-beaked_Common_dolphin,Delphinus delphis,7.405936184,87.79067353,,2003-2007,Afsal et al 2008,,Long-beaked_Common_dolphin,Publication
43,Risso's_dolphin,Grampus griseus,20.89954898,67.01820003,,2003-2007,Afsal et al 2008,,Risso's_dolphin,Publication
44,Risso's_dolphin,Grampus griseus,13.45078857,73.44309121,,2003-2007,Afsal et al 2008,,Risso's_dolphin,Publication
45,Risso's_dolphin,Grampus griseus,12.36208919,74.13163209,,2003-2007,Afsal et al 2008,,Risso's_dolphin,Publication
46,Sperm_whale,Physeter macrocephalus,13.66539871,73.25530733,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
47,Sperm_whale,Physeter macrocephalus,11.42093429,73.80971687,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
48,Sperm_whale,Physeter macrocephalus,11.85015458,74.37753954,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
49,Sperm_whale,Physeter macrocephalus,5.648815632,81.29424564,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
50,Sperm_whale,Physeter macrocephalus,5.559394738,80.80690177,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
51,Sperm_whale,Physeter macrocephalus,5.943904579,80.78901759,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
52,Sperm_whale,Physeter macrocephalus,9.596748069,81.18694056,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
53,Sperm_whale,Physeter macrocephalus,10.69215401,80.51628387,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
54,Sperm_whale,Physeter macrocephalus,11.97534383,93.9741283,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
55,Sperm_whale,Physeter macrocephalus,12.71753724,93.2229928,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
56,Sperm_whale,Physeter macrocephalus,12.83378441,92.39137849,,2003-2007,Afsal et al 2008,,Sperm_whale,Publication
57,Spinner_dolphin,Stenella longirostris,17.13045833,69.61587698,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
58,Spinner_dolphin,Stenella longirostris,16.99632699,71.53842618,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
59,Spinner_dolphin,Stenella longirostris,7.982700946,74.99901475,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
60,Spinner_dolphin,Stenella longirostris,7.911164231,74.25682134,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
61,Spinner_dolphin,Stenella longirostris,9.270361809,70.0987498,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
62,Spinner_dolphin,Stenella longirostris,11.70708115,74.68604162,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
63,Spinner_dolphin,Stenella longirostris,8.402979144,76.41410039,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
64,Spinner_dolphin,Stenella longirostris,8.364975264,76.69801172,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
65,Spinner_dolphin,Stenella longirostris,7.893280052,76.68236307,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
66,Spinner_dolphin,Stenella longirostris,5.697997123,80.31285133,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
67,Spinner_dolphin,Stenella longirostris,6.475958894,82.0610298,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
68,Spinner_dolphin,Stenella longirostris,10.22269432,91.12830837,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
69,Spinner_dolphin,Stenella longirostris,11.42987638,92.20135909,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
70,Spinner_dolphin,Stenella longirostris,14.97094375,85.26229778,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
71,Spinner_dolphin,Stenella longirostris,14.56854973,80.68394804,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
72,Spinner_dolphin,Stenella longirostris,17.99784099,84.21607332,,2003-2007,Afsal et al 2008,,Spinner_dolphin,Publication
73,Striped_dolphin,Stenella coeruleoalba,10.54460954,92.75800415,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
74,Striped_dolphin,Stenella coeruleoalba,11.94851756,93.33923996,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
75,Striped_dolphin,Stenella coeruleoalba,13.12887335,93.71480771,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
76,Striped_dolphin,Stenella coeruleoalba,12.97238679,93.42866085,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
77,Striped_dolphin,Stenella coeruleoalba,6.154043678,87.0261249,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
78,Striped_dolphin,Stenella coeruleoalba,9.033396441,86.13191596,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
79,Striped_dolphin,Stenella coeruleoalba,6.006499205,79.85009821,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
80,Striped_dolphin,Stenella coeruleoalba,5.872367865,79.89033761,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
81,Striped_dolphin,Stenella coeruleoalba,6.458074716,82.33599904,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
82,Striped_dolphin,Stenella coeruleoalba,11.14820057,80.09153462,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
83,Striped_dolphin,Stenella coeruleoalba,12.82037127,80.38662357,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
84,Striped_dolphin,Stenella coeruleoalba,16.15577059,86.53878103,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
85,Striped_dolphin,Stenella coeruleoalba,18.76686067,87.737021,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
86,Striped_dolphin,Stenella coeruleoalba,15.35992464,83.0424241,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
87,Striped_dolphin,Stenella coeruleoalba,6.847055601,78.00802781,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
88,Striped_dolphin,Stenella coeruleoalba,9.154114647,75.87086846,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
89,Striped_dolphin,Stenella coeruleoalba,8.107890196,72.77690555,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
90,Striped_dolphin,Stenella coeruleoalba,19.19608096,69.76342145,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
91,Striped_dolphin,Stenella coeruleoalba,9.431319417,75.03925415,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
92,Striped_dolphin,Stenella coeruleoalba,7.982700946,73.95726134,,2003-2007,Afsal et al 2008,,Striped_dolphin,Publication
